Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
160,GB3KS,145.625,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Dover,,,,
161,GB3KT,430.85,+,7.6,Tone,82.5,82.5,023,NN,FM,25.00,,Keighley,,,,
162,GB3KU,433.075,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Ashton-under-lyne,,,,
163,GB3KV,430.975,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Kilsyth,,,,
164,GB3KW,430.825,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Glasgow,,,,
165,GB3KY,145.7125,-,0.6,Tone,94.8,94.8,023,NN,FM,12.50,,Kings Lynn,,,,
166,GB3LA,145.7125,-,0.6,Tone,103.5,103.5,023,NN,FM,12.50,,Sanquhar,,,,
167,GB3LB,145.7875,-,0.6,Tone,118.8,118.8,023,NN,FM,12.50,,Lauder,,,,
168,GB3LC,430.9375,+,7.6,Tone,71.9,71.9,023,NN,FM,25.00,,Louth,,,,
169,GB3LD,145.675,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Lancaster,,,,
170,GB3LE,433.1,+,1.6,Tone,77,77,023,NN,FM,25.00,,Markfield,,,,
171,GB3LF,433.35,+,1.6,Tone,110.9,110.9,023,NN,FM,25.00,,Kendal,,,,
172,GB3LG,50.83,+,0.5,Tone,0,0,023,NN,FM,Llangollen,,,,
173,GB3LH,433.375,+,1.6,Tone,103.5,103.5,023,NN,FM,25.00,,Shrewsbury,,,,
174,GB3LI,433.25,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,Liverpool,,,,
175,GB3LL,433,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Llangollen,,,,
176,GB3LM,145.725,-,0.6,Tone,71.9,71.9,023,NN,FM,12.50,,Lincoln,,,,
177,GB3LN,430.925,+,7.6,Tone,118.8,118.8,023,NN,FM,25.00,,Leicester,,,,
178,GB3LP,50.75,+,0.5,Tone,77,77,023,NN,FM,Liverpool,,,,
179,GB3LR,430.8625,+,7.6,Tone,88.5,88.5,023,NN,FM,25.00,,Newhaven,,,,
180,GB3LS,433.05,+,1.6,Tone,71.9,71.9,023,NN,FM,25.00,,Lincoln,,,,
181,GB3LT,433.25,+,1.6,Tone,77,77,023,NN,FM,25.00,,Luton,,,,
182,GB3LU,145.675,-,0.6,Tone,77,77,023,NN,FM,12.50,,Lerwick,,,,
183,GB3LV,433.05,+,1.6,Tone,82.5,82.5,023,NN,FM,25.00,,North London,,,,
184,GB3LY,145.6,-,0.6,Tone,110.9,110.9,023,NN,FM,12.50,,Limavady,,,,
185,GB3LZ,145.6625,-,0.6,Tone,77,77,023,NN,FM,12.50,,Winkleigh,,,,
186,GB3MA,50.72,+,0.5,Tone,82.5,82.5,023,NN,FM,Atherton,,,,
187,GB3MB,433.375,+,1.6,Tone,94.8,94.8,023,NN,FM,25.00,,Merthyr,,,,
188,GB3MC,439.3375,-,9,Tone,110.9,110.9,023,NN,FM,25.00,,Leasowe,,,,
189,GB3MD,430.9625,+,7.6,Tone,103.5,103.5,023,NN,FM,25.00,,Llanfair Caereinion,,,,
190,GB3ME,433.15,+,1.6,Tone,67,67,023,NN,FM,25.00,,Rugby,,,,
